"","HHINCOME","DENSITY","PROPTX99","RENT","farm","ownership","acreage","se.HHINCOME","se.DENSITY","se.PROPTX99","se.RENT","se.farm","se.ownership","se.acreage","AGE","sex","race","hisp","hs","ba","employed","se.AGE","se.sex","se.race","se.hisp","se.hs","se.ba","se.employed","treated","PUMA00","distance","weights","subclass"
"24",152181.149339155,4381.7,57.1765984572629,55.0120612325387,0,0.960358443321379,0.00343951498252726,3960.59387121319,0,0.560831295220529,12.3574111875861,0,0.00789006297325458,0.00153742930036845,43.1725754512095,0.541631094136149,0.704440949599341,0.0553283906238299,0.989590354227514,0.672642851793604,0.97130232906463,0.483293674510263,0.0225058138026421,0.021742131311412,0.0112012250715043,0.00401779264172954,0.0221050301467403,0.00671586137704861,0,2103,0.298275793141909,0.506493506493506,5
"25",90493.5882845366,3922.1,38.8410634622924,142.011740894978,0.00235241758591093,0.862404764175435,0,2404.45160903455,0,0.778486509640081,17.4216061327825,0.00135841707137486,0.0144106327074499,0,42.9212879252857,0.564636796443442,0.786573329130932,0.226382230479571,0.834148930876035,0.425078380306222,0.945473848348622,0.599881826968494,0.0250349158308217,0.020446291393791,0.0249775815937097,0.0235468722820909,0.0245134078916109,0.0116308064239598,0,2104,0.486874715251456,17.7272727272727,1
"26",113224.883492879,2791.8,45.9921116707248,86.1942146692905,0.000879723825089223,0.914174810713452,0.00298105466795637,2046.67903011061,0,0.504730649327283,7.42206771269117,0.000364782614200668,0.00700709457872614,0.000989954931198106,42.2635291538516,0.547439890129021,0.793598596952757,0.123708016583812,0.934722195356275,0.461709576958044,0.95331128176361,0.361338654956633,0.0160355154747186,0.0141501818200953,0.0123418156765087,0.00936624873190521,0.0161677105488045,0.00879968987663742,0,2201,0.0901289982412445,0.253246753246753,6
"28",56524.167019774,2739.4,17.7845383121469,130.475812146893,0,0.739384710451977,0,3073.64281160894,0,1.00836035166545,13.6901040725134,0,0.0241843900219085,0,41.7718705414132,0.594177867888163,0.519961953392906,0.421541388200546,0.603113814422668,0.176090711121123,0.901904833420941,0.758827801062287,0.0311828827815118,0.0321861917049884,0.0332011461643818,0.0329120101733184,0.0228250628698642,0.0182602739656927,1,2301,0.963945540356044,1,1
"29",99632.7601928519,7661.7,31.3096111518709,233.440729483283,0,0.685944869510533,0,5792.81425653002,0,1.42606555268578,22.5747172751348,0,0.025521536155739,0,39.7720164110638,0.654398740405432,0.660757270676578,0.373336563062995,0.735242910995716,0.406930797995549,0.927421918762206,0.491579247686453,0.0225468165108752,0.0244921102476531,0.0259753670132481,0.0249634287986095,0.0236656952018977,0.0138028791059289,1,2302,0.190091939618447,1,4
"30",45073.4489531893,3705.5,19.1985469289873,125.032027515264,0,0.788358077086916,0.020604894056766,1589.5536721802,0,0.610954504828213,9.93756482164987,0,0.01558025431931,0.0058072929823478,40.9722693336597,0.605353802038711,0.498522546465477,0.632437536062106,0.52161977864424,0.0641512073155806,0.920077631878027,0.588005710997541,0.027605749613658,0.0292616901361428,0.0270089973511396,0.0294083212002389,0.0126874799376495,0.01423525483798,1,2303,0.608212513689931,1,1
"31",138086.342815689,6073.9,43.6184165981525,79.8030662088311,0,0.896300236978285,0,4797.83480529285,0,0.795275370533425,10.0776455452576,0,0.010926631485469,0,42.9499626587005,0.580358476474981,0.711874533233756,0.260853871048046,0.838710480458053,0.431839681354244,0.958551157580284,0.47388973185353,0.0217219260323595,0.0209976390396255,0.0211571291077016,0.0191211869434876,0.021544577010912,0.00784101179563962,1,2304,0.507761394622878,1,1
"32",111935.464983643,4827.2,43.2112417127472,88.0777916099708,0,0.912220259980892,0,3334.87032139119,0,0.893263425976844,15.9517517962293,0,0.0135456587020007,0,44.3747625124061,0.528427619452715,0.747171416418545,0.230526017297604,0.88219197504608,0.489437118956472,0.959208847299022,0.619750664031347,0.0243026600544768,0.0225188900863773,0.0243504379520411,0.0197274634751987,0.0243394273846732,0.00981449755241499,1,2305,0.27880493205477,1,5
"33",144370.031425871,5704.8,46.5513651952163,71.5063313401337,0,0.905931234611326,0,4972.20825546816,0,0.89693085557373,11.3175903883913,0,0.0125112707887969,0,43.5326307108292,0.604611111784896,0.585436551732502,0.368682764726572,0.800856245376154,0.424084023625581,0.964149272919118,0.565281123451027,0.0214555766995947,0.0232352713490164,0.0235886514582739,0.0199856680095278,0.0213564584309752,0.00861677695077904,1,2306,0.48933885212522,1,1
"34",50352.98170653,6409.9,17.1151455916794,142.572611429731,0.00236044774743209,0.747358327032659,0,1432.40734326122,0,0.517357123840549,9.79718698313796,0.00118101459807569,0.0160748412412861,0,42.9054760281754,0.627667265704075,0.601536840800645,0.646175455991407,0.532337691846894,0.0906405568982256,0.933961289789511,0.645048269910403,0.0269724373205558,0.0273326787811974,0.0261145186122593,0.0291532168875915,0.0143080584429908,0.0125103817085436,1,2307,0.808567752120082,1,1
