"","PUMA","HHINCOME","DENSITY","PROPTX99","RENT","farm","ownership","acreage","se.HHINCOME","se.DENSITY","se.PROPTX99","se.RENT","se.farm","se.ownership","se.acreage","AGE","sex","race","hisp","hs","ba","employed","se.AGE","se.sex","se.race","se.hisp","se.hs","se.ba","se.employed","treated","PScores","distance","weights"
"25",2104,90493.5882845366,3922.1,38.8410634622924,142.011740894978,0.00235241758591093,0.862404764175435,0,2404.45160903455,0,0.778486509640081,17.4216061327825,0.00135841707137486,0.0144106327074499,0,42.9212879252857,0.564636796443442,0.786573329130932,0.226382230479571,0.834148930876035,0.425078380306222,0.945473848348622,0.599881826968494,0.0250349158308217,0.020446291393791,0.0249775815937097,0.0235468722820909,0.0245134078916109,0.0116308064239598,0,0.536304010640895,0.536304010640895,1
"28",2301,56524.167019774,2739.4,17.7845383121469,130.475812146893,0,0.739384710451977,0,3073.64281160894,0,1.00836035166545,13.6901040725134,0,0.0241843900219085,0,41.7718705414132,0.594177867888163,0.519961953392906,0.421541388200546,0.603113814422668,0.176090711121123,0.901904833420941,0.758827801062287,0.0311828827815118,0.0321861917049884,0.0332011461643818,0.0329120101733184,0.0228250628698642,0.0182602739656927,1,0.775104617402898,0.775104617402898,1
"29",2302,99632.7601928519,7661.7,31.3096111518709,233.440729483283,0,0.685944869510533,0,5792.81425653002,0,1.42606555268578,22.5747172751348,0,0.025521536155739,0,39.7720164110638,0.654398740405432,0.660757270676578,0.373336563062995,0.735242910995716,0.406930797995549,0.927421918762206,0.491579247686453,0.0225468165108752,0.0244921102476531,0.0259753670132481,0.0249634287986095,0.0236656952018977,0.0138028791059289,1,0.0709842173181158,0.0709842173181158,1
"30",2303,45073.4489531893,3705.5,19.1985469289873,125.032027515264,0,0.788358077086916,0.020604894056766,1589.5536721802,0,0.610954504828213,9.93756482164987,0,0.01558025431931,0.0058072929823478,40.9722693336597,0.605353802038711,0.498522546465477,0.632437536062106,0.52161977864424,0.0641512073155806,0.920077631878027,0.588005710997541,0.027605749613658,0.0292616901361428,0.0270089973511396,0.0294083212002389,0.0126874799376495,0.01423525483798,1,0.289785852942998,0.289785852942998,1
"31",2304,138086.342815689,6073.9,43.6184165981525,79.8030662088311,0,0.896300236978285,0,4797.83480529285,0,0.795275370533425,10.0776455452576,0,0.010926631485469,0,42.9499626587005,0.580358476474981,0.711874533233756,0.260853871048046,0.838710480458053,0.431839681354244,0.958551157580284,0.47388973185353,0.0217219260323595,0.0209976390396255,0.0211571291077016,0.0191211869434876,0.021544577010912,0.00784101179563962,1,0.550494294965979,0.550494294965979,1
"32",2305,111935.464983643,4827.2,43.2112417127472,88.0777916099708,0,0.912220259980892,0,3334.87032139119,0,0.893263425976844,15.9517517962293,0,0.0135456587020007,0,44.3747625124061,0.528427619452715,0.747171416418545,0.230526017297604,0.88219197504608,0.489437118956472,0.959208847299022,0.619750664031347,0.0243026600544768,0.0225188900863773,0.0243504379520411,0.0197274634751987,0.0243394273846732,0.00981449755241499,1,0.232159403576891,0.232159403576891,1
"33",2306,144370.031425871,5704.8,46.5513651952163,71.5063313401337,0,0.905931234611326,0,4972.20825546816,0,0.89693085557373,11.3175903883913,0,0.0125112707887969,0,43.5326307108292,0.604611111784896,0.585436551732502,0.368682764726572,0.800856245376154,0.424084023625581,0.964149272919118,0.565281123451027,0.0214555766995947,0.0232352713490164,0.0235886514582739,0.0199856680095278,0.0213564584309752,0.00861677695077904,1,0.547114805309671,0.547114805309671,1
"34",2307,50352.98170653,6409.9,17.1151455916794,142.572611429731,0.00236044774743209,0.747358327032659,0,1432.40734326122,0,0.517357123840549,9.79718698313796,0.00118101459807569,0.0160748412412861,0,42.9054760281754,0.627667265704075,0.601536840800645,0.646175455991407,0.532337691846894,0.0906405568982256,0.933961289789511,0.645048269910403,0.0269724373205558,0.0273326787811974,0.0261145186122593,0.0291532168875915,0.0143080584429908,0.0125103817085436,1,0.915232412901298,0.915232412901298,1
"35",2308,55357.3819297326,2729.6,25.7126054503899,142.315694359021,0.00374344138438993,0.808120154597295,0.00348527301305269,1438.55863505579,0,0.623258219430881,11.2806181274281,0.001422690904612,0.0141934669062319,0.00135143215744163,41.9880564734154,0.51986782817663,0.335884650045059,0.349774707119255,0.811006308200661,0.204157404626014,0.91269450285371,0.481017680276363,0.0222051903466638,0.020940592368892,0.0222941592230608,0.0182131693187989,0.0176837449989636,0.0117325541160551,1,0.166527838670907,0.166527838670907,1
"36",2309,71694.9227725644,4298.1,31.6789509663787,126.011331386075,0,0.838636504878503,0.00176081867710729,2146.03582392885,0,0.782811370653529,13.1203685173971,0,0.0157293505203688,0.00124532216554391,42.455836804443,0.549467763181317,0.612997970735875,0.313912919648261,0.810281604898715,0.224091281284489,0.961995799067251,0.578816599938265,0.0273470361699017,0.0277528861669711,0.0283804770350762,0.0236281649616948,0.0221358673210278,0.0104104719750022,1,0.395054654352536,0.395054654352536,1
"37",2310,73708.0449604173,4885.3,34.2205899323747,117.01998753664,0.00664712534908948,0.840780575622591,0.00107323378032174,2708.6505841853,0,0.891430772767696,12.8161570930886,0.00271058824640107,0.0169673628637898,0.00107351149286822,44.0032238200456,0.549063643278879,0.602129894591951,0.332777918643822,0.702140761401094,0.19332053464701,0.963849748252255,0.639028012267461,0.027143007759627,0.0275989660968792,0.0274539952491824,0.0273236204341563,0.0202910773785574,0.00863157927728676,1,0.984617051194545,0.984617051194545,1
