PUMA,HHINCOME,DENSITY,PROPTX99,RENT,farm,ownership,acreage,se.HHINCOME,se.DENSITY,se.PROPTX99,se.RENT,se.farm,se.ownership,se.acreage,AGE,sex,race,hisp,hs,ba,employed,se.AGE,se.sex,se.race,se.hisp,se.hs,se.ba,se.employed,treated,PScores,distance,weights,subclass
6000,49789.07193,3060.9,22.74356852,94.39798113,0,0.754054893,0.007535377,1118.607721,0,0.565343115,6.573890266,0,0.012541336,0.002058927,41.81815187,0.545188621,0.809824358,0.943525753,0.69833845,0.160541815,0.949718683,0.52552643,0.022247986,0.016804024,0.008707273,0.020778595,0.014499472,0.009246432,0,9.42E-07,9.42E-07,0.076033058,7
6100,55346.11019,99.5,16.22521955,70.59400832,0.016181464,0.773284073,0.051970568,2012.060498,0,0.819639127,6.909424629,0.004296664,0.016819002,0.008042705,44.47733139,0.546359873,0.861309959,0.560579498,0.840710981,0.176844412,0.956902849,0.677880632,0.031492404,0.018394973,0.03120558,0.021862902,0.022827717,0.013162019,0,1.54E-08,1.54E-08,0.076033058,7
6200,69639.29456,338.1,20.02463801,109.5819175,0.016289337,0.765588383,0.045823569,2191.14235,0,0.688286463,10.54984468,0.004082114,0.017404804,0.007004293,43.78330469,0.519565131,0.715296375,0.377632999,0.835844758,0.155621727,0.951616771,0.579871476,0.026535199,0.024430503,0.02621582,0.020827574,0.017575894,0.013051477,0,4.86E-06,4.86E-06,0.076033058,7
6301,46781.53404,5115.5,13.37780907,133.5139648,0,0.711164227,0.001724458,1634.256654,0,0.607934238,10.0225505,0,0.018770996,0.001219849,43.50944552,0.479873001,0.754529992,0.719197188,0.788502098,0.139063386,0.917201497,0.670278704,0.029584529,0.02484056,0.025106095,0.023857156,0.019259405,0.015593304,0,1.53E-06,1.53E-06,0.076033058,7
6302,72463.22991,2282.3,29.85705988,109.1007227,0,0.841161974,0.002207121,1927.181348,0,0.691868158,10.1676603,0,0.013085814,0.001009585,43.03326241,0.555197627,0.79906206,0.434059513,0.908723143,0.278340475,0.954601301,0.500673361,0.022548031,0.018697337,0.023014551,0.013831396,0.018847265,0.010191293,0,0.000281962,0.000281962,0.076033058,7
6400,60712.06139,348.8,21.80581586,84.12523428,0.010896011,0.785455688,0.033153673,2133.091365,0,0.796661671,8.056466168,0.002836925,0.017383044,0.006376932,43.80610631,0.571820291,0.805262603,0.499709977,0.836110525,0.170902763,0.961374183,0.701621023,0.03106265,0.024772856,0.031632221,0.023143095,0.02202139,0.010184532,0,1.79E-06,1.79E-06,0.076033058,7
6500,34643.536,243.4,10.33701157,63.2653453,0.003062661,0.764851621,0.01424366,1140.339651,0,0.403254108,6.000620688,0.001279838,0.019466348,0.00274888,43.93768429,0.51600674,0.628159225,0.838247683,0.720671862,0.163805813,0.941975569,0.712220701,0.033219417,0.031640874,0.023017857,0.028935197,0.023139052,0.015589355,0,7.43E-06,7.43E-06,0.076033058,7
6600,57725.53945,3169.7,24.14993526,102.6174845,0.00295421,0.789439612,0.002005945,1823.257279,0,0.74881543,11.57464613,0.00170537,0.018336553,0.001418453,42.52465004,0.527352575,0.63596056,0.795093216,0.817515782,0.286679476,0.946920592,0.657359669,0.029903276,0.029354728,0.024168142,0.023165369,0.026587477,0.012687609,0,2.06E-05,2.06E-05,0.076033058,7
6701,36921.81475,488.9,17.13410402,53.55132117,0.020672658,0.801304406,0.017285896,1458.667036,0,0.481676303,6.26612496,0.005942492,0.01500934,0.004816474,40.92519238,0.586634303,0.481175438,0.945256417,0.638408304,0.128285906,0.906548572,0.652482949,0.0313463,0.031854203,0.014665278,0.030603986,0.021782687,0.017429044,0,0.003494916,0.003494916,0.076033058,7
6702,49059.73607,1950.7,22.49473568,45.57662514,0.009461553,0.85489914,0.021681738,1355.955972,0,0.640156198,5.131799141,0.004418754,0.013630101,0.006088151,39.67069902,0.579489999,0.682062914,0.883428414,0.69807776,0.184800788,0.931037643,0.631365367,0.030528872,0.029302309,0.019191972,0.028530566,0.023088949,0.016357035,0,0.000242858,0.000242858,0.076033058,7
6703,45229.01307,2513.4,20.61166408,88.20609139,0.000512589,0.754599913,0.000512589,1588.683994,0,0.658050453,8.407427188,0.000512881,0.016458356,0.000512881,40.67422477,0.54904207,0.62642702,0.933952202,0.699348213,0.183014023,0.923879123,0.593670198,0.029002523,0.028716239,0.014567159,0.026921292,0.021086864,0.015434068,0,1.14E-05,1.14E-05,0.076033058,7
6704,36335.18288,1058.1,19.00677376,59.84615158,0.00287774,0.788308996,0.005674314,994.6871908,0,0.498487648,4.780247167,0.001309841,0.013992181,0.001816548,41.24462424,0.564203777,0.539560344,0.925807999,0.620665591,0.110808217,0.904632093,0.617570835,0.028333334,0.028728976,0.015357544,0.028166592,0.015726716,0.017419003,0,0.000155646,0.000155646,0.076033058,7
6800,41593.34359,3251.7,19.1816849,77.565704,0.001480654,0.767508365,0.002054044,1145.968353,0,0.515935014,5.947868632,0.001046749,0.014188094,0.001193309,41.46007102,0.515482665,0.87286202,0.904204766,0.719836681,0.215813762,0.932751197,0.531391636,0.023779314,0.012945125,0.013894113,0.021875665,0.019465768,0.01233699,0,5.14E-06,5.14E-06,0.076033058,7
6900,42261.79942,741.7,17.84040881,46.30999679,0.000431612,0.844990538,0.001128831,1020.77225,0,0.39252244,3.759082516,0.000305346,0.009478662,0.000580072,43.35693411,0.548049418,0.892644535,0.804879934,0.761306882,0.158458708,0.950102825,0.482900657,0.021976877,0.011059604,0.016635527,0.018732943,0.015231287,0.009405406,0,0.000106701,0.000106701,0.076033058,7
