"","PUMA","HHINCOME","DENSITY","PROPTX99","RENT","farm","ownership","acreage","se.HHINCOME","se.DENSITY","se.PROPTX99","se.RENT","se.farm","se.ownership","se.acreage","AGE","sex","race","hisp","hs","ba","employed","se.AGE","se.sex","se.race","se.hisp","se.hs","se.ba","se.employed","treated","PScores","distance","weights","subclass"
"1",100,53955.5657591468,73.2,14.7430128283761,66.1253397550536,0.0322032913468181,0.786759721352435,0.0834780587639049,1170.49629721343,0,0.358406593467825,4.57485942205421,0.00376317584462139,0.0112880645098228,0.00655327526280419,45.8141261153183,0.559376171552823,0.820394391542326,0.274844417785109,0.791257404213841,0.183459548624128,0.976816375496738,0.425666926137261,0.0191976061701122,0.0166001860869297,0.0188380944309211,0.0178921083041035,0.0135954910310721,0.00601284517155781,0,5.08129113073259e-06,NA,0.0741935483870968,7
"2",200,50548.8632643402,1423.4,17.684855760906,142.521731100003,0.0010389370519584,0.690835420827225,0.00809216526025373,1635.02028963157,0,0.617542557222076,8.4914259112492,0.000735149983101997,0.0171177391056163,0.00259580697051337,43.0070599002026,0.567406794064454,0.732704333994291,0.296058222386856,0.77401782406903,0.182380755235003,0.929095940557383,0.701217944923444,0.0285002774538097,0.0265225137637288,0.0269626648556495,0.0249311416894256,0.022667505767832,0.0161126786881505,0,0.000377334962759288,NA,0.0741935483870968,7
"3",300,72768.2018548598,1354,27.6791930835735,90.0146712077548,0.00291328268273513,0.830578988734608,0.0258108462143044,2029.70184536627,0,0.669567543266913,9.77711579298422,0.00143374558028307,0.015224497471009,0.00445657044852591,44.3683448026078,0.538613223872188,0.881946959636203,0.132379572618616,0.905086723811823,0.258944021892229,0.972453619863978,0.585226386858294,0.024816719067878,0.0188401163514543,0.0193301907198338,0.0162601244410916,0.0202501483707385,0.00836637356541853,0,0.000218839330781816,NA,0.0741935483870968,7
"4",400,53867.3099637013,52.6,15.345318493474,56.0784498811495,0.0347541039877116,0.75322869916676,0.0630293564912943,1557.27282887057,0,0.505674548279878,4.4882411590713,0.00395164178565109,0.0141722625074153,0.00637346000828171,44.4515439429929,0.568962787015044,0.826623119556611,0.43646080760095,0.804374505146477,0.168190815518606,0.929552652414885,0.596801531270592,0.0231637747882396,0.0178688750853601,0.0236776327588502,0.0183367087655105,0.0159371868639352,0.0147929639063148,0,6.12904605124831e-07,NA,0.0741935483870968,7
"5",501,54652.4665082628,4445.6,16.5658354913634,206.95811196839,0,0.620511519876125,0,2135.26734364828,0,0.694053519057193,13.5083388498529,0,0.0207317146303759,0,42.9171903564899,0.504570383912249,0.784477833638026,0.3373228976234,0.860946069469835,0.27739373857404,0.965979204753199,0.72463951142916,0.030680192772262,0.0272014848416548,0.0314411292978715,0.0226933847544626,0.0253056418987296,0.0103227335160541,0,7.85242685313804e-05,NA,0.0741935483870968,7
"6",502,67589.7158641416,931.8,24.0381263857277,105.407449966485,0.00723340625667543,0.784331057241141,0.0130451756421305,1785.21876872755,0,0.655711130853072,7.57242509883722,0.00202278500496906,0.0136919706405011,0.0028015899951443,43.9536724569616,0.524594497923892,0.804099342176881,0.257919537191111,0.866227081162621,0.335925228993982,0.97373372937499,0.534602586010017,0.0229295241211922,0.0193040424628907,0.0222319819918343,0.0185982368006416,0.0207415324529721,0.00862241783006181,0,0.00658060059363939,NA,0.0741935483870968,7
"7",600,64337.0278937623,54,20.7628692868762,59.8516480633288,0.0608175473579262,0.811010577290684,0.15470130960502,1784.05304018843,0,0.484397577834882,5.34145258728836,0.00593471101127441,0.0128998324842478,0.00982720977184716,44.0901445212432,0.558686580630609,0.933765124784507,0.104097185299757,0.823835532569642,0.18794206260976,0.965424460663477,0.549176101349627,0.0217857477989215,0.0104643717118198,0.0155074715970701,0.0187498148704813,0.0164285158963267,0.00775211731718444,0,3.71464412531186e-09,NA,0.0741935483870968,7
"8",700,73850.545538852,1022,20.7929617336978,127.261421319797,0.0138129636860601,0.732311597032409,0.0230964467005076,3519.32373633898,0,0.709364816016221,11.7110877753218,0.00466938735737922,0.0179469676946498,0.00531990833157287,44.2998563247465,0.493352490033794,0.849646882651719,0.12131452738936,0.881397090070219,0.270554667422142,0.927211283566384,0.605861891976254,0.0255093164867005,0.018881416801643,0.0169688089736955,0.0175822135860137,0.0227002442702221,0.0161923670188893,0,0.000240183534504913,NA,0.0741935483870968,7
"9",800,60236.843971683,225.2,22.5538979682786,92.7761745775466,0.0228596059293244,0.799231437985374,0.0708289803403006,1250.42559519779,0,0.563282771602966,7.75830677095598,0.00347344518032484,0.0140050281480332,0.00645294475917593,43.8371290746967,0.534512498172782,0.890045315012425,0.0694781464698144,0.888320420991083,0.203581347756176,0.950606636456658,0.558815963541105,0.0232702938063665,0.0148485826431443,0.015824119199972,0.0168947873573125,0.0166028292272341,0.0117542474203038,0,1.48708037337871e-06,NA,0.0741935483870968,7
"10",900,57701.7317710681,144.7,19.7658179360072,94.3538756196485,0.030419107706174,0.774943668319063,0.131782334384858,1463.47397695433,0,0.580780176607866,7.74409860224254,0.00429950813157802,0.0149139368097289,0.01085913465302,44.6410784292253,0.52572329661184,0.866904662826606,0.0838607941479226,0.854661731531571,0.183819181322412,0.944304518276791,0.678355311928699,0.0264521227642028,0.0221891433170877,0.0180165315570407,0.0209415380997651,0.0191325667098798,0.0136771419861278,0,5.98198278738188e-12,NA,0.0741935483870968,7
