State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
48,3100,4803100,G48003100,48,3400,4803400,G48003400,Texas,"Central Texas COG (West), Burnet & Llano Counties",960,960,"110,730","163,497",0,0,0,"110,015","176,700",0,0,0,"53,434,537,521","16,608,228,906","2,668",0,0
48,3200,4803200,G48003200,48,3000,4803000,G48003000,Texas,Permian Basin Regional Planning Commission (Central)--Midland County--Midland City,976,976,"116,009","116,009","116,009",100,100,"136,872","136,872","136,872",100,100,"2,331,764,608","2,331,764,608","2,331,764,608",100,100
48,3300,4803300,G48003300,48,3100,4803100,G48003100,Texas,Permian Basin Regional Planning Commission (Central)--Ector County--Odessa City,977,977,"121,123","121,123","121,123",100,100,"137,130","137,130","137,130",100,100,"2,324,750,345","2,324,727,721","2,324,727,721",100,100
48,3300,4803300,G48003300,48,3200,4803200,G48003200,Texas,Rio Grande COG & Permian Basin Regional Planning Commission (West),977,978,"121,123","105,339",0,0,0,"137,130","110,077",0,0,0,"2,324,750,345","94,684,235,521","22,624",0,0
48,3400,4803400,G48003400,35,1100,3501100,G35001100,New Mexico,Central Southeast New Mexico,978,628,"105,339","143,091",0,0,0,"110,077","149,939",0,0,0,"94,684,260,730","45,320,337,448","135,296",0,0
48,3400,4803400,G48003400,48,3200,4803200,G48003200,Texas,Rio Grande COG & Permian Basin Regional Planning Commission (West),978,978,"105,339","105,339","105,339",100,100,"110,077","110,077","110,077",100,100,"94,684,260,730","94,684,235,521","94,684,125,434",100,100
48,3501,4803501,G48003501,48,3304,4803304,G48003304,Texas,El Paso City (Central),979,980,"100,908","118,762",0,0,0,"132,440","109,954",0,0,0,"322,453,978","84,564,772","19,892",0.01,0.02
48,3501,4803501,G48003501,48,3305,4803305,G48003305,Texas,El Paso City (North),979,979,"100,908","114,843","10,061",9.97,8.76,"132,440","128,877","19,248",14.53,14.94,"322,453,978","231,518,570","126,203,457",39.14,54.51
48,3501,4803501,G48003501,48,3306,4803306,G48003306,Texas,El Paso City (Northwest),979,979,"100,908","108,519","90,847",90.03,83.72,"132,440","133,496","113,192",85.47,84.79,"322,453,978","258,421,608","196,230,629",60.86,75.93
48,3502,4803502,G48003502,48,3301,4803301,G48003301,Texas,El Paso County (Outside El Paso City)--Socorro & Horizon Cities,980,979,"118,664","88,589",0,0,0,"109,942","138,813",0,0,0,"84,387,991","1,868,151,492",724,0,0
48,3502,4803502,G48003502,48,3303,4803303,G48003303,Texas,El Paso City (Southeast),980,979,"118,664","122,814",0,0,0,"109,942","130,806",0,0,0,"84,387,991","110,836,422",788,0,0
48,3502,4803502,G48003502,48,3304,4803304,G48003304,Texas,El Paso City (Central),980,980,"118,664","118,762","118,664",100,99.92,"109,942","109,954","109,942",100,99.99,"84,387,991","84,564,772","84,386,479",100,99.79
48,3503,4803503,G48003503,48,3301,4803301,G48003301,Texas,El Paso County (Outside El Paso City)--Socorro & Horizon Cities,979,979,"104,782","88,589",0,0,0,"109,621","138,813",0,0,0,"78,508,688","1,868,151,492","401,109",0.51,0.02
48,3503,4803503,G48003503,48,3304,4803304,G48003304,Texas,El Paso City (Central),979,980,"104,782","118,762",0,0,0,"109,621","109,954",0,0,0,"78,508,688","84,564,772","2,495",0,0
48,3503,4803503,G48003503,48,3305,4803305,G48003305,Texas,El Paso City (North),979,979,"104,782","114,843","104,782",100,91.24,"109,621","128,877","109,621",100,85.06,"78,508,688","231,518,570","78,105,084",99.49,33.74
48,3504,4803504,G48003504,48,3301,4803301,G48003301,Texas,El Paso County (Outside El Paso City)--Socorro & Horizon Cities,979,979,"191,546","88,589","88,589",46.25,100,"288,016","138,813","138,813",48.2,100,"2,036,844,198","1,868,151,492","1,867,749,658",91.7,99.98
48,3504,4803504,G48003504,48,3302,4803302,G48003302,Texas,El Paso City (East),979,979,"191,546","126,095","60,497",31.58,47.98,"288,016","158,701","94,963",32.97,59.84,"2,036,844,198","69,017,777","37,564,983",1.84,54.43
48,3504,4803504,G48003504,48,3303,4803303,G48003303,Texas,El Paso City (Southeast),979,979,"191,546","122,814","24,690",12.89,20.1,"288,016","130,806","33,916",11.78,25.93,"2,036,844,198","110,836,422","41,972,643",2.06,37.87
48,3504,4803504,G48003504,48,3304,4803304,G48003304,Texas,El Paso City (Central),979,980,"191,546","118,762",98,0.05,0.08,"288,016","109,954",12,0,0.01,"2,036,844,198","84,564,772","155,907",0.01,0.18
48,3504,4803504,G48003504,48,3305,4803305,G48003305,Texas,El Paso City (North),979,979,"191,546","114,843",0,0,0,"288,016","128,877",8,0,0.01,"2,036,844,198","231,518,570","27,210,029",1.34,11.75
48,3504,4803504,G48003504,48,3306,4803306,G48003306,Texas,El Paso City (Northwest),979,979,"191,546","108,519","17,672",9.23,16.28,"288,016","133,496","20,304",7.05,15.21,"2,036,844,198","258,421,608","62,190,979",3.05,24.07
48,3505,4803505,G48003505,48,3302,4803302,G48003302,Texas,El Paso City (East),979,979,"163,722","126,095","65,598",40.07,52.02,"160,628","158,701","63,738",39.68,40.16,"100,315,785","69,017,777","31,452,794",31.35,45.57
48,3505,4803505,G48003505,48,3303,4803303,G48003303,Texas,El Paso City (Southeast),979,979,"163,722","122,814","98,124",59.93,79.9,"160,628","130,806","96,890",60.32,74.07,"100,315,785","110,836,422","68,862,991",68.65,62.13
48,3600,4803600,G48003600,48,2600,4802600,G48002600,Texas,West Central Texas COG (Outside Taylor County),960,960,"143,846","198,346","46,909",32.61,23.65,"158,810","195,884","47,001",29.6,23.99,"21,434,166,886","43,687,631,609","5,714,293,257",26.66,13.08
48,3600,4803600,G48003600,48,2800,4802800,G48002800,Texas,Concho Valley COG & Permian Basin Regional Planning Commission (East),960,960,"143,846","103,099",0,0,0,"158,810","102,834",0,0,0,"21,434,166,886","53,072,917,515",17,0,0
48,3600,4803600,G48003600,48,3400,4803400,G48003400,Texas,"Central Texas COG (West), Burnet & Llano Counties",960,960,"143,846","163,497","88,519",61.54,54.14,"158,810","176,700","101,312",63.79,57.34,"21,434,166,886","16,608,228,906","13,882,817,799",64.77,83.59
48,3600,4803600,G48003600,48,3502,4803502,G48003502,Texas,"Central Texas COG--Bell County (North, East & South)--Temple & Belton Cities",960,960,"143,846","129,697",0,0,0,"158,810","156,780",0,0,0,"21,434,166,886","2,563,070,045","58,039",0,0
48,3600,4803600,G48003600,48,5201,4805201,G48005201,Texas,Capital Area COG--Williamson County (North)--Georgetown (East) & Taylor Cities,960,994,"143,846","69,020",0,0,0,"158,810","113,009",0,0,0,"21,434,166,886","2,173,453,256","90,047",0,0
48,3600,4803600,G48003600,48,5309,4805309,G48005309,Texas,"Travis County (West, South & Outside Austin City)",960,995,"143,846","67,389",0,0,0,"158,810","105,571",0,0,0,"21,434,166,886","1,233,459,924","974,967",0,0.08
48,3600,4803600,G48003600,48,6000,4806000,G48006000,Texas,Alamo Area COG (Northwest) & Blanco County,960,981,"143,846","96,628","8,418",5.85,8.71,"158,810","118,369","10,497",6.61,8.87,"21,434,166,886","9,149,839,615","1,835,932,759",8.57,20.07
48,3701,4803701,G48003701,48,3501,4803501,G48003501,Texas,Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities,960,960,"105,351","108,277",0,0,0,"127,220","153,455",0,0,0,"1,857,289,880","159,045,262","602,220",0.03,0.38
48,3701,4803701,G48003701,48,3502,4803502,G48003502,Texas,"Central Texas COG--Bell County (North, East & South)--Temple & Belton Cities",960,960,"105,351","129,697","105,351",100,81.23,"127,220","156,780","127,220",100,81.15,"1,857,289,880","2,563,070,045","1,856,687,661",99.97,72.44
48,3702,4803702,G48003702,48,3400,4803400,G48003400,Texas,"Central Texas COG (West), Burnet & Llano Counties",960,960,"106,591","163,497",0,0,0,"154,513","176,700",0,0,0,"405,427,465","16,608,228,906","291,702",0.07,0
